state_newspaper,newspaper,newspaper_id,year,state_election,prop_type,prop_num,prop_desc,endorsed,notes_endorse,extraction_confidence,extraction_confidence_note,normalization_confidence,match_confidence,overall_confidence,input_mode,source_file,filename,flag
AL,Birmingham News,100101,1932,AL,AMENDMENT,6,"AUTHORIZE $100,000,000 BOND ISSUE WHEN LOCAL AREA IS DETERMINED; BONDS TO BE USED ON GROUND THAT IT WILL SUPPLY MONEY TO THE SCHOOLS",1,NEWSPAPER ENDORSES ALL AMENDMENTS AS DESCRIBED IN ARTICLE,0.8,Endorsement appears to be general approval of amendments including No. 6,,,,pdf,,100101_19321105,
AL,Birmingham News,100101,1932,AL,AMENDMENT,1,WOULD PROVIDE A SENATOR FROM THE COUNTY SELECTED FROM DISTRICT IN LIEU OF ONE OF THE PRESENT SENATE MEMBERS BY LEGISLATIVE APPOINTMENT,1,ENDORSEMENT DISCUSSED IN EDITORIAL,0.85,QA VERIFIED: CONFIRMED FROM SCAN,,,,pdf,,100101_19321106,
AL,Birmingham News,100101,1932,AL,AMENDMENT,2,"WOULD AUTHORIZE A $150,000,000 BOND ISSUE WHEN LOCAL AREA IS DETERMINED; BONDS TO BE USED ON GROUND THAT IT WILL SUPPLY MONEY TO THE SCHOOLS",0,NEWSPAPER OPPOSES THIS AMENDMENT - CONCERNS ABOUT FISCAL RESPONSIBILITY,0.8,Clear opposition stated in editorial text,,,,pdf,,100101_19321106,
AL,Birmingham News,100101,1932,AL,AMENDMENT,3,WOULD ENABLE RELIEF OF FINANCIAL RECONSTRUCTION PROVISIONS,1,ENDORSED - ADDRESSES FINANCIAL CRISIS RELIEF,0.85,QA VERIFIED: CONFIRMED FROM SCAN,,,,pdf,,100101_19321106,
AL,Birmingham News,100101,1932,AL,AMENDMENT,5,WOULD AUTHORIZE LEGISLATURE TO LEVY INCOME TAX WITHOUT CONSTITUTIONAL LIMITATION ON RATES,1,ENDORSED - ADDRESSES REVENUE NEEDS,0.85,QA VERIFIED: CONFIRMED FROM SCAN,,,,pdf,,100101_19321106,
AL,Birmingham News,100101,1932,AL,AMENDMENT,8,BOND ISSUE AMENDMENT FOR RELIEF FROM RECONSTRUCTION FINANCE CORPORATION,1,VOTE YES ON NO. 8,0.85,Clear directive to vote 'Yes' on No. 8,,,,pdf,,100101_19321107,
AL,Birmingham News,100101,1936,AL,AMENDMENT,1,"AMENDMENT APPLICABLE ONLY TO JEFFERSON COUNTY FOR CREATING OFFICE OF COUNTY COMPTROLLER AND MERGING TAX OFFICES - WOULD SAVE AT LEAST $30,000 ANNUALLY",1,VOTERS OF ALABAMA WILL BE SAFE VOTING YES ON ALL FIVE AMENDMENTS,0.8,Endorsement in context of all five amendments,,,,pdf,,100101_19361101,
AL,Birmingham News,100101,1936,AL,AMENDMENT,2,LOCAL AMENDMENT FOR MONTEVALLO - PERMITS TOWN TO LEVY ADDITIONAL PROPERTY TAX,1,VOTERS OF ALABAMA WILL BE SAFE VOTING YES ON ALL FIVE AMENDMENTS,0.8,Endorsement in context of all five amendments,,,,pdf,,100101_19361101,
AL,Birmingham News,100101,1936,AL,AMENDMENT,3,STATEWIDE AMENDMENT EMPOWERING COURTS IN ALL COUNTIES TO SUSPEND EXECUTION OR IMPEACHMENT OF SENTENCES - IMPROVES PROBATION SYSTEM,1,VOTERS OF ALABAMA WILL BE SAFE VOTING YES ON ALL FIVE AMENDMENTS,0.8,Endorsement in context of all five amendments,,,,pdf,,100101_19361101,
AL,Birmingham News,100101,1936,AL,AMENDMENT,4,"ABOLISHES FEE SYSTEM FOR PROBATE JUDGE, TAX ASSESSOR, AND TAX COLLECTOR OF LIMESTONE COUNTY - PLACES OFFICIALS ON SALARY BASIS",1,VOTERS OF ALABAMA WILL BE SAFE VOTING YES ON ALL FIVE AMENDMENTS,0.8,Endorsement in context of all five amendments,,,,pdf,,100101_19361101,
